epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1542.34,0.78446,0.38219,0.80467,0.89093,0.5859,0.69707,0.48667,0.71635,0.3398,0.79305,0.005743,0.005743,0.005743
45,1576.87,0.78207,0.38116,0.80255,0.88145,0.58655,0.70032,0.49109,0.71445,0.33716,0.79204,0.005644,0.005644,0.005644
46,1611.46,0.77755,0.37716,0.80215,0.88611,0.58443,0.69866,0.49021,0.71532,0.33662,0.79238,0.005545,0.005545,0.005545
47,1646.18,0.77623,0.3766,0.80275,0.87904,0.58307,0.69703,0.49,0.71239,0.33531,0.79243,0.005446,0.005446,0.005446
48,1680.84,0.77118,0.37441,0.80181,0.89246,0.57915,0.69975,0.49344,0.70853,0.33347,0.79178,0.005347,0.005347,0.005347
49,1715.7,0.77335,0.37522,0.80174,0.88537,0.58953,0.70369,0.49446,0.70803,0.33218,0.79144,0.005248,0.005248,0.005248
50,1750.45,0.77163,0.37415,0.8011,0.89136,0.58538,0.70391,0.49581,0.70418,0.33158,0.79124,0.005149,0.005149,0.005149
51,1785.13,0.76739,0.37175,0.80123,0.88491,0.58858,0.70115,0.49387,0.70187,0.32947,0.79076,0.00505,0.00505,0.00505
52,1819.79,0.76645,0.37181,0.80187,0.88324,0.58896,0.70454,0.49728,0.70269,0.32979,0.79117,0.004951,0.004951,0.004951
53,1854.63,0.76315,0.37017,0.80103,0.88985,0.58832,0.70514,0.49571,0.70123,0.32885,0.79109,0.004852,0.004852,0.004852
54,1889.32,0.75972,0.36878,0.80181,0.88229,0.5905,0.7064,0.49862,0.70265,0.32765,0.79073,0.004753,0.004753,0.004753
55,1924,0.76336,0.36909,0.80066,0.88273,0.59082,0.70473,0.49753,0.69929,0.3267,0.7908,0.004654,0.004654,0.004654
56,1958.55,0.75761,0.36604,0.80034,0.89002,0.58692,0.70654,0.50085,0.70003,0.32647,0.79063,0.004555,0.004555,0.004555
57,1993.09,0.75498,0.36584,0.79933,0.88862,0.58932,0.70695,0.49992,0.69866,0.32662,0.79024,0.004456,0.004456,0.004456
58,2027.92,0.75141,0.36432,0.79951,0.88695,0.59017,0.70857,0.50115,0.69821,0.32656,0.79035,0.004357,0.004357,0.004357
59,2062.55,0.7475,0.36159,0.79848,0.88897,0.58983,0.7068,0.50087,0.69482,0.32505,0.78999,0.004258,0.004258,0.004258
60,2097.13,0.74695,0.36073,0.79792,0.88679,0.59157,0.70821,0.50159,0.69485,0.32413,0.79007,0.004159,0.004159,0.004159
61,2132,0.74851,0.36073,0.79905,0.88643,0.59299,0.70888,0.50432,0.69331,0.3233,0.78962,0.00406,0.00406,0.00406
62,2166.89,0.74018,0.35715,0.79859,0.88766,0.59088,0.70878,0.50357,0.69177,0.3217,0.78932,0.003961,0.003961,0.003961
